year,month,day,gender,births,Decade
1969,1,1.0,F,4046,1960
1969,1,1.0,M,4440,1960
1969,1,2.0,F,4454,1960
1969,1,2.0,M,4548,1960
1969,1,3.0,F,4548,1960
1969,1,3.0,M,4994,1960
1969,1,4.0,F,4440,1960
1969,1,4.0,M,4520,1960
1969,1,5.0,F,4192,1960
1969,1,5.0,M,4198,1960
1969,1,6.0,F,4710,1960
1969,1,6.0,M,4850,1960
1969,1,7.0,F,4646,1960
1969,1,7.0,M,5092,1960
1969,1,8.0,F,4800,1960
1969,1,8.0,M,4934,1960
1969,1,9.0,F,4592,1960
1969,1,9.0,M,4842,1960
1969,1,10.0,F,4852,1960
1969,1,10.0,M,5190,1960
1969,1,11.0,F,4580,1960
1969,1,11.0,M,4598,1960
1969,1,12.0,F,4126,1960
1969,1,12.0,M,4324,1960
1969,1,13.0,F,4758,1960
1969,1,13.0,M,5076,1960
1969,1,14.0,F,5070,1960
1969,1,14.0,M,5296,1960
1969,1,15.0,F,4798,1960
1969,1,15.0,M,5096,1960
1969,1,16.0,F,4790,1960
1969,1,16.0,M,4872,1960
1969,1,17.0,F,4944,1960
1969,1,17.0,M,5030,1960
1969,1,18.0,F,4670,1960
1969,1,18.0,M,4642,1960
1969,1,19.0,F,4170,1960
1969,1,19.0,M,4452,1960
1969,1,20.0,F,4884,1960
1969,1,20.0,M,4924,1960
1969,1,21.0,F,5042,1960
1969,1,21.0,M,5432,1960
1969,1,22.0,F,4796,1960
1969,1,22.0,M,5088,1960
1969,1,23.0,F,4794,1960
1969,1,23.0,M,4660,1960
1969,1,24.0,F,4752,1960
1969,1,24.0,M,5046,1960
1969,1,25.0,F,4348,1960
1969,1,25.0,M,4674,1960
1969,1,26.0,F,4230,1960
1969,1,26.0,M,4338,1960
1969,1,27.0,F,4864,1960
1969,1,27.0,M,5046,1960
1969,1,28.0,F,4860,1960
1969,1,28.0,M,5172,1960
1969,1,29.0,F,4500,1960
1969,1,29.0,M,4880,1960
1969,1,30.0,F,4668,1960
1969,1,30.0,M,5006,1960
1969,1,31.0,F,4780,1960
1969,1,31.0,M,4912,1960
